tool_id,tool,source_type,package_or_image,window,metric_value,captured_at,source_url,confidence,limitations
T09,Google ADK,PyPI,google-adk,last-week rolling,5678788,2026-07-28,https://pypistats.org/packages/google-adk,high,"recent rolling window; not Google Cloud usage"
T10,Strands Agents,PyPI,strands-agents,last-week rolling,8302542,2026-07-28,https://pypistats.org/packages/strands-agents,high,"recent rolling window; package retrieval not active agents"
T11,Letta,PyPI,letta,last-week rolling,7965,2026-07-28,https://pypistats.org/packages/letta,low,"recent rolling window; self-hosted source installs excluded"
T12,Mem0,PyPI,mem0ai,last-week rolling,1001159,2026-07-28,https://pypistats.org/packages/mem0ai,medium,"recent rolling window; not memory records or users"
T13,Graphiti,PyPI,graphiti-core,last-week rolling,332037,2026-07-28,https://pypistats.org/packages/graphiti-core,medium,"recent rolling window; core package only"
T14,LangMem,PyPI,langmem,last-week rolling,163542,2026-07-28,https://pypistats.org/packages/langmem,medium,"recent rolling window; not LangChain platform usage"
T15,DSPy,PyPI,dspy,last-week rolling,1423893,2026-07-28,https://pypistats.org/packages/dspy,medium,"recent rolling window; downloads not optimization runs"
T16,OpenHands,PyPI,openhands,last-week rolling,334473,2026-07-28,https://pypistats.org/packages/openhands,medium,"recent rolling window; package may not represent hosted users"
T18,Aider,PyPI,aider-chat,last-week rolling,180794,2026-07-28,https://pypistats.org/packages/aider-chat,medium,"recent rolling window; not CLI active sessions"
T19,Browser Use,PyPI,browser-use,last-week rolling,11520797,2026-07-28,https://pypistats.org/packages/browser-use,high,"recent rolling window; automated build traffic included"
T41,Langflow,PyPI,langflow,last-week rolling,24518,2026-07-28,https://pypistats.org/packages/langflow,low,"recent rolling window; Docker and hosted use excluded"
T23,Ragas,PyPI,ragas,last-week rolling,384049,2026-07-28,https://pypistats.org/packages/ragas,medium,"recent rolling window; evaluation jobs not users"
T20,DeepEval,PyPI,deepeval,last-week rolling,1701282,2026-07-28,https://pypistats.org/packages/deepeval,medium,"recent rolling window; CI traffic included"
T26,LiteLLM,PyPI,litellm,last-week rolling,143971651,2026-07-28,https://pypistats.org/packages/litellm,high,"recent rolling window; very high automation/CI sensitivity"
T27,vLLM,PyPI,vllm,last-week rolling,1223036,2026-07-28,https://pypistats.org/packages/vllm,medium,"recent rolling window; wheels and CI included"
T39,n8n,Docker Hub,n8nio/n8n,cumulative through 2026-07-28,239094128,2026-07-28,https://hub.docker.com/v2/repositories/n8nio/n8n/,high,"cumulative pulls include every tag and automated pulls"
T40,Flowise,Docker Hub,flowiseai/flowise,cumulative through 2026-07-28,6681508,2026-07-28,https://hub.docker.com/v2/repositories/flowiseai/flowise/,medium,"cumulative pulls include CI and mirrors"
T41,Langflow,Docker Hub,langflowai/langflow,cumulative through 2026-07-28,3221134,2026-07-28,https://hub.docker.com/v2/repositories/langflowai/langflow/,medium,"cumulative pulls include every tag"
T42,LobeHub/LobeChat,Docker Hub,lobehub/lobe-chat,cumulative through 2026-07-28,5910806,2026-07-28,https://hub.docker.com/v2/repositories/lobehub/lobe-chat/,medium,"old image tags and hosted use are not represented"
T34,AnythingLLM,Docker Hub,mintplexlabs/anythingllm,cumulative through 2026-07-28,3798965,2026-07-28,https://hub.docker.com/v2/repositories/mintplexlabs/anythingllm/,medium,"cumulative pulls include CI"
T35,RAGFlow,Docker Hub,infiniflow/ragflow,cumulative through 2026-07-28,3486944,2026-07-28,https://hub.docker.com/v2/repositories/infiniflow/ragflow/,medium,"cumulative pulls include every tag"
T43,Ollama,Docker Hub,ollama/ollama,cumulative through 2026-07-28,157765416,2026-07-28,https://hub.docker.com/v2/repositories/ollama/ollama/,high,"cumulative pulls are a distribution signal, not active local installs"
N45,Chroma,PyPI,chromadb,last-week rolling,2927551,2026-07-28,https://pypistats.org/packages/chromadb,medium,"new candidate signal; package downloads include CI and mirrors, not memory deployments"
N41,MLX,PyPI,mlx-lm,last-week rolling,340778,2026-07-28,https://pypistats.org/packages/mlx-lm,medium,"mlx-lm distribution is a model tooling entry, not all MLX use"
N38,Nanobot,PyPI,nanobot,last-week rolling,171,2026-07-28,https://pypistats.org/packages/nanobot,low,"package name may include unrelated releases; canonical repository remains HKUDS/nanobot"
