id,title,source_url,alternate_urls,publication_status,scope_summary,source_level,code_or_data_status,reproduction_status,role_consistency_use,notes
A20,Identity-Driven Hierarchical RPA,https://arxiv.org/abs/2407.19412,,2024 arXiv,Hierarchical Identity Role-Playing Framework；身份组合、身份对话集、量表与开放情境 benchmark。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A21,Thinking Before Speaking,https://arxiv.org/abs/2409.13752,,2024 arXiv,以 mindset 扩展角色数据，处理角色不拥有的知识和角色逻辑；报告 tone/knowledge/mindset 改善。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A22,ERABAL,https://arxiv.org/abs/2409.14710,,2024 arXiv,Boundary-aware learning；作为角色边界保持和通用能力冲突的候选方法。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A23,Emotional RAG,https://arxiv.org/abs/2410.23041,,2024 arXiv,以情绪相关检索增强角色扮演；需验证情绪召回对稳定人格与状态变化的影响。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A24,LongMemEval,https://arxiv.org/abs/2410.10813,,2024 arXiv/ACL track,500 问题，测试信息抽取、多 session、时间推理、知识更新和 abstention；提出 indexing/retrieval/reading 分解。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A25,LoCoMo,https://arxiv.org/abs/2402.17753,,ACL 2024 track/arXiv,平均约 305 turns、19.3 sessions、9.2k tokens，最多约 35 sessions；QA、事件摘要、多模态对话。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A26,MemGPT,https://arxiv.org/abs/2310.08560,,ICML 方向/公开论文,OS 式 virtual context、分层 memory、interrupt；支持多 session 记忆、反思和演化。,A/B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A27,Generative Agents DOI,https://doi.org/10.1145/3586183.3606763,https://arxiv.org/abs/2304.03442,UIST 2023,memory stream、retrieval、reflection、planning；提供可交互社会模拟原型。DOI 页面本轮返回 403，arXiv 作为可访问复核入口。,A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A28,MemoryBank,https://arxiv.org/abs/2305.10250,,2023 arXiv,时间与重要性驱动的记忆强化/遗忘；以 SiliconFriend 作为陪伴示例。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A29,Zep temporal KG,https://arxiv.org/abs/2501.13956,,2025 arXiv,temporal knowledge graph、有效期和 provenance；适合关系和时间事实。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A30,Mem0,https://doi.org/10.3233/FAIA251160,,2025 Frontiers in AI,production-ready scalable long-term memory；代码和论文分开评估，不能只依据产品宣传。,A/B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A31,TiMem,https://arxiv.org/abs/2601.02845,,2026 arXiv,Temporal Memory Tree、语义巩固、复杂度感知召回；报告 LoCoMo 与 LongMemEval 上的结果。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A32,MemOps,https://arxiv.org/abs/2607.12893,,2026 arXiv,把 memory 视为 remember/forget/update/reflect 生命周期操作，保存 trigger/target/scope/state trace。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A33,LoCoMo-Plus,https://arxiv.org/abs/2602.10715,,2026 arXiv,cue-trigger semantic disconnect、隐式 constraint consistency；指出表面 factual recall 的盲点。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A34,PASB,https://arxiv.org/abs/2607.10526,,2026 arXiv,"1,600 persistent sycophancy tasks；区分 persist 与 cleared query，直测 durable state 写入。",B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A35,RoleMemo/DualMem,https://arxiv.org/abs/2605.25693,,2026 arXiv,事实 cognition 与 persona-conditioned insight 双流记忆；RoleMemo 数据集和 4B 模型。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A36,BOOKMARKS,https://arxiv.org/abs/2605.14169,,2026 arXiv,主动选择、初始化、更新 storyline bookmark；在 85 个角色、16 个作品上比较记忆基线。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A37,DynSess,https://arxiv.org/abs/2605.29256,,2026 arXiv,session-level rubric、multi-turn lookahead、DSPO/GSRPO；目标是长期对话级优化。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A38,ArcANE,https://arxiv.org/abs/2606.05553,,2026 arXiv,17 部小说、80 角色、Character Arc 分段；同一情境跨阶段，并测试原文外情境。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A39,PersonaArena,https://arxiv.org/abs/2605.17044,,2026 arXiv,社交内容 persona bank、动态环境、多 Agent debate judge；偏真实社交 persona。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A40,RoleCDE,https://arxiv.org/abs/2606.01552,,2026 arXiv,约 8k role profiles、近 24k dilemma；测角色价值与 alignment constraint 冲突。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A41,Persona-E²,https://arxiv.org/abs/2604.09162,,2026 arXiv,人工标注 MBTI/Big Five 与事件的情绪 appraisal 数据；测试“人格幻觉”。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A42,CRPO,https://arxiv.org/abs/2605.25511,,2026 arXiv,角色中心 GRPO；解耦逻辑和 style reward、按角色复杂度约束、generic response negative baseline。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A43,"When Role-playing, Do Models Believe What They Say?",https://arxiv.org/abs/2606.11502,,2026 arXiv,truth probes + behavior tests，区分 prompt/ICL/SFT/OCT/EM 的输出与内部信念变化。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A44,Persona Vectors,https://arxiv.org/abs/2607.13162,,2026 arXiv,53 traits、4 行为域、两个 open-weight model；natural/steerable/intractable 分类。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A45,Persona collapse repair,https://arxiv.org/abs/2607.08326,,2026 arXiv,"1,281 advice posts；发现默认 supportive persona collapse，并以 inverse-process distillation 修复分布。",B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A46,ZifaMem,https://arxiv.org/abs/2607.17564,,2026 arXiv,session summary、episodic memory、user model；部署诚实比较 raw history、Mem0 和结构化 memory。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A47,Ground Truth First,https://arxiv.org/abs/2607.21962,,2026 arXiv,longitudinal memory evaluation instrument；关注 memory architecture 排名随 tenure 变化。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A48,LongMemEval-V2,https://arxiv.org/abs/2605.12493,,2026 arXiv,面向 experienced-colleague 的长期 memory 评价扩展；版本与代码需持续核验。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A49,RPA-Check,https://arxiv.org/abs/2604.11655,,2026 arXiv,四阶段 checklist、语义过滤、agent isolation、LLM judge；关注约束密集型场景。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A50,AutoPersonas,https://arxiv.org/abs/2607.08252,,2026 arXiv,多时间尺度 persona evolution loop；候选记忆、状态和长期变化需要复现。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A51,EvolvingWorld,https://arxiv.org/abs/2607.17250,,2026 arXiv,open-schema role-play agent 与 world model 共演；关系和世界状态共同演化。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A52,SOTOPIA,https://arxiv.org/abs/2310.11667,,2023 arXiv,互动式社会智能环境；以 persona、goal、relationship 和社会规范驱动开放式多轮交互，并由 agent/judge 评估。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A53,SOTOPIA-π,https://aclanthology.org/2024.acl-long.698/,,ACL 2024,在 SOTOPIA 中进行互动学习，比较社会智能策略和长期互动结果。,A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A54,LIFELONG SOTOPIA,https://arxiv.org/abs/2506.12666,,2025 arXiv,评估语言 Agent 在持续社会互动中的长期行为与关系变化。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A55,EmoBench,https://aclanthology.org/2024.acl-long.326/,,ACL 2024,情绪智力 benchmark；覆盖情绪理解、推断、调节和社会情绪任务。,A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A56,OpenToM,https://aclanthology.org/2024.acl-long.466/,,ACL 2024,综合 theory-of-mind benchmark；测试信念、意图、知识和多步心理状态推理。,A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A57,Investigating Cultural Alignment,https://aclanthology.org/2024.acl-long.671/,,ACL 2024,跨文化价值与偏好对齐评估；可用于区分角色价值、模型默认文化和用户文化。,A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A58,Cultural bias and cultural alignment,https://doi.org/10.1093/pnasnexus/pgae346,https://academic.oup.com/pnasnexus/article/doi/10.1093/pnasnexus/pgae346/7756548,PNAS Nexus 2024,研究文化偏差和文化对齐，提示人格/价值评估必须报告文化分层；出版社页面受当前访问策略限制。,A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A59,SafetyBench,https://aclanthology.org/2024.acl-long.830/,,ACL 2024,多语言、多类别 LLM 安全评估；适合作为角色边界和安全行为的外部基线。,A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A60,R-Judge,https://aclanthology.org/2024.findings-emnlp.79/,,Findings EMNLP 2024,评估 LLM Agent 的安全风险意识，而非只看最终拒答文本。,A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A61,Agent-SafetyBench,https://arxiv.org/abs/2412.14470,,2024 arXiv,面向工具型 Agent 的安全 benchmark；覆盖工具使用、规划和环境交互风险。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A62,HarmBench,https://arxiv.org/abs/2402.04249,,2024 arXiv,标准化自动 red teaming 和 robust refusal 评估。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A63,JailbreakBench,https://arxiv.org/abs/2404.01318,,2024 arXiv,开放 jailbreak robustness benchmark；可测试角色扮演提示对边界的影响。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A64,SALAD-Bench,https://aclanthology.org/2024.findings-acl.235/,,Findings ACL 2024,分层、综合安全 benchmark；支持按风险类别和严重度分析。,A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A65,WildGuard,https://arxiv.org/abs/2406.18495,,2024 arXiv,开放 moderation、jailbreak 和 refusal 工具；适合与角色输出/通用安全分层。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A66,OR-Bench,https://arxiv.org/abs/2405.20947,,2024 arXiv,over-refusal benchmark；用于测量安全边界是否过度抹平角色价值和正常对话。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
